Date	Open	High	Low	Close*	Adj Close**	Volume
Jun 24, 2019	26,727.61	26,806.52	26,465.32	26,599.96	26,599.96	1,535,170,000
Jun 17, 2019	26,108.53	26,907.37	26,049.80	26,719.13	26,719.13	1,477,670,000
Jun 10, 2019	26,090.22	26,248.67	25,958.66	26,089.61	26,089.61	1,147,880,000
Jun 03, 2019	24,830.16	26,072.75	24,680.57	25,983.94	25,983.94	1,383,670,000
May 27, 2019	25,616.55	25,717.63	24,809.51	24,815.04	24,815.04	1,165,380,000
May 20, 2019	25,655.31	25,898.27	25,328.09	25,585.69	25,585.69	1,300,500,000
May 13, 2019	25,568.06	25,957.63	25,222.51	25,764.00	25,764.00	1,528,250,000
May 06, 2019	26,160.62	26,476.27	25,469.86	25,942.37	25,942.37	1,523,740,000
Apr 29, 2019	26,559.87	26,689.39	26,180.36	26,504.95	26,504.95	1,460,130,000
Apr 22, 2019	26,510.77	26,695.96	26,310.28	26,543.33	26,543.33	1,441,650,000
Apr 15, 2019	26,407.76	26,602.42	26,316.42	26,559.54	26,559.54	1,253,590,000
Apr 08, 2019	26,312.67	26,436.68	26,062.59	26,412.30	26,412.30	1,258,510,000
Apr 01, 2019	26,075.10	26,487.57	26,071.69	26,424.99	26,424.99	1,281,080,000
Mar 25, 2019	25,490.72	25,949.32	25,372.26	25,928.68	25,928.68	1,416,360,000
Mar 18, 2019	25,801.88	26,109.68	25,501.45	25,502.32	25,502.32	1,689,160,000
Mar 11, 2019	25,208.00	25,927.91	25,208.00	25,848.87	25,848.87	1,878,630,000
Mar 04, 2019	26,122.19	26,155.98	25,252.46	25,450.24	25,450.24	1,363,660,000
Feb 25, 2019	26,126.15	26,241.42	25,877.24	26,026.32	26,026.32	1,423,240,000
Feb 18, 2019	25,849.85	26,052.90	25,762.21	26,031.81	26,031.81	1,103,970,000
Feb 11, 2019	25,142.81	25,883.72	25,009.10	25,883.25	25,883.25	1,424,680,000
Feb 04, 2019	25,062.12	25,439.04	24,883.04	25,106.33	25,106.33	1,400,450,000
Jan 28, 2019	24,596.98	25,193.15	24,323.94	25,063.89	25,063.89	1,954,810,000
Jan 21, 2019	24,607.76	24,860.15	24,244.31	24,737.20	24,737.20	1,354,140,000
Jan 14, 2019	23,880.53	24,750.22	23,765.24	24,706.35	24,706.35	1,533,520,000
Jan 07, 2019	23,474.26	24,084.71	23,301.59	23,995.95	23,995.95	1,576,990,000
Dec 31, 2018	23,153.94	23,518.64	22,638.41	23,433.16	23,433.16	1,430,660,000
Dec 24, 2018	22,317.28	23,381.88	21,712.53	23,062.40	23,062.40	1,485,950,000
Dec 17, 2018	23,986.83	24,088.08	22,396.34	22,445.37	22,445.37	2,855,570,000
Dec 10, 2018	24,360.95	24,828.29	23,881.37	24,100.51	24,100.51	1,793,890,000
Dec 03, 2018	25,779.57	25,980.21	24,242.22	24,388.95	24,388.95	1,677,300,000
Nov 26, 2018	24,364.13	25,549.71	24,364.13	25,538.46	25,538.46	1,764,050,000
Nov 19, 2018	25,392.61	25,392.61	24,268.74	24,285.95	24,285.95	1,249,320,000
Nov 12, 2018	25,959.33	25,966.71	24,787.79	25,413.22	25,413.22	1,818,050,000
Nov 05, 2018	25,261.47	26,277.82	25,261.47	25,989.30	25,989.30	1,582,070,000
