Date	Open	High	Low	Close*	Adj Close**	Volume
Jun 24, 2019	2,948.00	2,961.75	2,914.50	2,944.25	2,944.25	5,943,046
Jun 17, 2019	2,890.75	2,960.00	2,884.50	2,953.90	2,953.90	4,890,312
Jun 10, 2019	2,893.25	2,911.50	2,867.25	2,890.50	2,890.50	6,713,947
Jun 03, 2019	2,741.00	2,886.25	2,728.75	2,875.00	2,875.00	9,132,022
May 27, 2019	2,831.00	2,841.25	2,750.00	2,752.50	2,752.50	7,214,614
May 20, 2019	2,861.50	2,876.50	2,805.75	2,831.75	2,831.75	7,436,629
May 13, 2019	2,858.50	2,894.00	2,799.75	2,862.00	2,862.00	9,955,655
May 06, 2019	2,917.75	2,938.25	2,826.00	2,887.00	2,887.00	12,447,022
Apr 29, 2019	2,939.25	2,961.25	2,901.00	2,947.50	2,947.50	7,047,758
Apr 22, 2019	2,908.75	2,942.75	2,899.00	2,941.50	2,941.50	5,648,228
Apr 15, 2019	2,912.00	2,923.50	2,889.50	2,910.00	2,910.00	4,798,196
Apr 08, 2019	2,896.25	2,914.75	2,877.25	2,912.50	2,912.50	5,330,156
Apr 01, 2019	2,844.50	2,898.00	2,844.50	2,896.00	2,896.00	5,624,291
Mar 25, 2019	2,813.00	2,840.75	2,789.50	2,837.75	2,837.75	7,666,996
Mar 18, 2019	2,827.00	2,866.00	2,805.25	2,810.75	2,810.75	8,140,115
Mar 11, 2019	2,745.50	2,821.50	2,736.75	2,811.89	2,811.89	4,554,578
Mar 04, 2019	2,814.00	2,819.75	2,722.00	2,747.00	2,747.00	7,805,410
Feb 25, 2019	2,799.50	2,814.00	2,775.00	2,805.00	2,805.00	6,222,642
Feb 18, 2019	2,777.00	2,798.00	2,764.25	2,791.25	2,791.25	5,099,910
Feb 11, 2019	2,710.75	2,778.50	2,700.50	2,777.00	2,777.00	6,824,975
Feb 04, 2019	2,699.25	2,737.75	2,680.75	2,706.25	2,706.25	6,947,902
Jan 28, 2019	2,660.00	2,716.00	2,622.25	2,704.25	2,704.25	7,640,118
Jan 21, 2019	2,669.25	2,673.50	2,612.50	2,663.50	2,663.50	6,112,082
Jan 14, 2019	2,588.50	2,677.75	2,567.25	2,671.50	2,671.50	7,324,948
Jan 07, 2019	2,537.25	2,599.50	2,523.25	2,595.00	2,595.00	7,641,109
Dec 31, 2018	2,495.50	2,539.25	2,438.50	2,531.25	2,531.25	7,992,468
Dec 24, 2018	2,407.75	2,523.00	2,316.75	2,486.00	2,486.00	7,603,210
