Date	Open	High	Low	Close*	Adj Close**	Volume
Jun 24, 2019	1,406.00	1,433.30	1,399.80	1,409.70	1,409.70	2,356
Jun 17, 2019	1,339.00	1,406.00	1,335.00	1,396.20	1,396.20	345
Jun 10, 2019	1,335.80	1,355.40	1,319.10	1,340.10	1,340.10	1,679
Jun 03, 2019	1,307.00	1,347.70	1,307.00	1,341.20	1,341.20	2,137
May 27, 2019	1,276.50	1,306.40	1,273.90	1,305.80	1,305.80	248,081
May 20, 2019	1,276.10	1,284.80	1,272.00	1,283.00	1,283.00	29
May 13, 2019	1,286.70	1,300.10	1,274.50	1,274.50	1,274.50	121
May 06, 2019	1,282.20	1,286.50	1,278.80	1,285.70	1,285.70	69
Apr 29, 2019	1,284.80	1,284.90	1,266.60	1,279.20	1,279.20	830
Apr 22, 2019	1,273.50	1,284.90	1,266.00	1,284.90	1,284.90	1,770
Apr 15, 2019	1,284.80	1,287.30	1,270.10	1,271.90	1,271.90	1,501
Apr 08, 2019	1,292.20	1,309.10	1,288.60	1,290.60	1,290.60	1,186
Apr 01, 2019	1,291.80	1,295.90	1,279.50	1,290.40	1,290.40	1,822
Mar 25, 2019	1,320.70	1,322.90	1,286.10	1,293.00	1,293.00	295,346
Mar 18, 2019	1,297.30	1,311.60	1,297.30	1,311.60	1,311.60	30
Mar 11, 2019	1,291.00	1,307.50	1,288.80	1,301.80	1,301.80	37
Mar 04, 2019	1,285.50	1,297.40	1,281.00	1,297.00	1,297.00	177
Feb 25, 2019	1,329.20	1,331.60	1,288.90	1,296.40	1,296.40	1,979
Feb 18, 2019	1,320.90	1,344.00	1,320.50	1,329.20	1,329.20	2,103
Feb 11, 2019	1,313.40	1,318.80	1,301.60	1,318.10	1,318.10	1,419
Feb 04, 2019	1,318.10	1,318.10	1,302.20	1,313.70	1,313.70	1,720
Jan 28, 2019	1,300.80	1,325.40	1,298.40	1,316.90	1,316.90	271,467
Jan 21, 2019	1,282.50	1,297.40	1,278.50	1,297.40	1,297.40	22
Jan 14, 2019	1,292.40	1,293.90	1,281.30	1,281.30	1,281.30	25
Jan 07, 2019	1,286.80	1,291.20	1,278.20	1,287.10	1,287.10	169
Dec 31, 2018	1,278.00	1,294.20	1,275.30	1,282.70	1,282.70	212
Dec 24, 2018	1,260.30	1,280.10	1,260.30	1,279.90	1,279.90	1,375
Dec 17, 2018	1,239.30	1,263.60	1,239.30	1,253.80	1,253.80	454
Dec 10, 2018	1,249.60	1,249.60	1,234.10	1,237.00	1,237.00	559
Dec 03, 2018	1,222.50	1,249.80	1,221.30	1,246.80	1,246.80	1,995
Nov 26, 2018	1,220.20	1,228.70	1,211.20	1,220.20	1,220.20	304,713
Nov 19, 2018	1,223.10	1,228.80	1,219.00	1,221.00	1,221.00	13
Nov 12, 2018	1,201.60	1,223.80	1,196.30	1,220.80	1,220.80	11
Nov 05, 2018	1,230.60	1,233.80	1,206.40	1,206.40	1,206.40	36
Oct 29, 2018	1,224.50	1,236.00	1,212.00	1,230.90	1,230.90	439
Oct 22, 2018	1,224.50	1,238.60	1,219.60	1,232.50	1,232.50	114
Oct 15, 2018	1,222.40	1,232.30	1,222.40	1,225.30	1,225.30	783
Oct 08, 2018	1,201.00	1,224.60	1,183.70	1,218.10	1,218.10	1,585
Oct 01, 2018	1,191.60	1,206.00	1,185.80	1,201.20	1,201.20	1,237
Sep 24, 2018	1,199.30	1,202.80	1,180.00	1,191.50	1,191.50	23,229
Sep 17, 2018	1,199.70	1,206.20	1,196.20	1,196.20	1,196.20	2
Sep 10, 2018	1,193.00	1,205.00	1,190.40	1,195.00	1,195.00	92
Sep 03, 2018	1,193.80	1,202.00	1,189.90	1,193.60	1,193.60	83
Aug 27, 2018	1,210.30	1,217.00	1,196.00	1,200.30	1,200.30	1,791
Aug 20, 2018	1,184.80	1,208.00	1,184.40	1,206.30	1,206.30	214
Aug 13, 2018	1,207.00	1,207.40	1,161.40	1,176.50	1,176.50	430
Aug 06, 2018	1,214.40	1,216.40	1,205.60	1,211.10	1,211.10	1,340
Jul 30, 2018	1,222.50	1,228.10	1,205.10	1,214.20	1,214.20	67,182
Jul 23, 2018	1,222.00	1,231.40	1,222.00	1,222.60	1,222.60	254,430
Jul 16, 2018	1,242.70	1,243.80	1,211.70	1,229.50	1,229.50	102
Jul 09, 2018	1,258.20	1,262.30	1,239.60	1,239.60	1,239.60	141
Jul 02, 2018	1,249.90	1,257.30	1,237.00	1,254.30	1,254.30	81
Jun 25, 2018	1,270.60	1,271.20	1,244.80	1,251.30	1,251.30	1,714
Jun 18, 2018	1,280.70	1,281.80	1,260.00	1,267.40	1,267.40	196
Jun 11, 2018	1,299.30	1,307.70	1,274.00	1,274.60	1,274.60	990
Jun 04, 2018	1,293.90	1,302.80	1,289.90	1,298.10	1,298.10	1,603
May 28, 2018	1,298.70	1,306.80	1,288.90	1,294.80	1,294.80	441,924
May 21, 2018	1,287.40	1,303.70	1,287.40	1,303.30	1,303.30	113
May 14, 2018	1,319.90	1,319.90	1,285.20	1,290.20	1,290.20	42
May 07, 2018	1,310.60	1,320.80	1,308.50	1,319.00	1,319.00	422
Apr 30, 2018	1,309.60	1,316.20	1,302.60	1,312.70	1,312.70	104
Apr 23, 2018	1,334.00	1,334.40	1,312.80	1,320.30	1,320.30	1,565
Apr 16, 2018	1,341.00	1,355.20	1,335.30	1,336.70	1,336.70	1,211
Apr 09, 2018	1,333.00	1,365.40	1,327.00	1,344.80	1,344.80	614
Apr 02, 2018	1,327.00	1,347.30	1,319.00	1,331.90	1,331.90	2,675
Mar 26, 2018	1,348.50	1,354.40	1,321.70	1,322.80	1,322.80	355,768
Mar 19, 2018	1,309.40	1,349.30	1,307.30	1,349.30	1,349.30	52
Mar 12, 2018	1,319.40	1,325.90	1,310.10	1,311.30	1,311.30	66
Mar 05, 2018	1,323.50	1,338.10	1,313.00	1,322.40	1,322.40	213
Feb 26, 2018	1,335.00	1,340.50	1,301.80	1,321.10	1,321.10	1,618
Feb 19, 2018	1,348.40	1,350.20	1,322.00	1,328.20	1,328.20	899
Feb 12, 2018	1,323.80	1,361.40	1,318.00	1,353.20	1,353.20	832
Feb 05, 2018	1,331.10	1,343.70	1,307.00	1,313.10	1,313.10	2,571
Jan 29, 2018	1,338.70	1,352.10	1,327.70	1,333.70	1,333.70	61,502
Jan 22, 2018	1,328.40	1,362.40	1,328.40	1,351.60	1,351.60	280,777
Jan 15, 2018	1,331.10	1,338.00	1,326.00	1,331.90	1,331.90	301
