Date	Open	High	Low	Close*	Adj Close**	Volume
Jun 24, 2019	40,294.80	41,835.50	39,579.20	41,796.40	41,796.40	-
Jun 17, 2019	40,487.60	41,478.20	39,818.40	40,294.80	40,294.80	-
Jun 10, 2019	35,662.90	40,993.50	35,632.80	40,487.60	40,487.60	-
Jun 03, 2019	33,949.50	36,177.40	33,278.70	35,662.90	35,662.90	-
May 27, 2019	35,084.90	35,815.40	33,494.40	33,949.50	33,949.50	-
May 20, 2019	33,315.70	35,130.80	32,828.50	35,084.90	35,084.90	-
May 13, 2019	33,406.10	34,129.30	32,234.20	33,315.70	33,315.70	-
May 06, 2019	32,412.30	34,671.20	31,960.10	33,393.80	33,393.80	-
Apr 29, 2019	30,001.10	32,446.90	28,821.10	32,412.30	32,412.30	-
Apr 22, 2019	32,036.80	32,036.80	28,309.80	30,001.10	30,001.10	-
Apr 15, 2019	31,373.60	32,426.30	31,226.40	32,036.80	32,036.80	-
Apr 08, 2019	32,666.90	33,190.70	31,141.50	31,357.00	31,357.00	-
Apr 01, 2019	33,466.00	33,876.10	31,722.70	32,666.90	32,666.90	-
Mar 25, 2019	32,828.00	33,861.10	31,709.60	33,466.00	33,466.00	-
Mar 18, 2019	33,933.10	35,647.70	32,740.50	32,828.00	32,828.00	-
Mar 11, 2019	33,020.10	34,411.60	33,020.10	33,933.10	33,933.10	-
Mar 04, 2019	33,834.90	33,838.50	32,092.20	33,020.10	33,020.10	-
Feb 25, 2019	36,646.80	37,165.20	33,686.10	33,834.90	33,834.90	-
Feb 18, 2019	37,470.00	37,648.70	35,837.30	36,646.80	36,646.80	-
Feb 11, 2019	36,664.20	37,874.90	36,664.20	37,470.00	37,470.00	-
Feb 04, 2019	36,599.90	37,562.10	35,694.10	36,664.20	36,664.20	-
Jan 28, 2019	34,810.50	36,789.40	34,132.80	36,599.90	36,599.90	-
Jan 21, 2019	35,100.50	35,527.10	33,896.30	34,810.50	34,810.50	-
Jan 14, 2019	33,884.60	35,229.80	33,461.60	35,100.50	35,100.50	-
Jan 07, 2019	32,303.10	34,325.20	32,299.90	33,884.60	33,884.60	-
Dec 31, 2018	30,292.60	32,431.80	29,994.40	32,303.10	32,303.10	-
Dec 24, 2018	28,456.90	30,369.20	27,380.30	30,292.60	30,292.60	-
