Date	Open	High	Low	Close*	Adj Close**	Volume
Jun 24, 2019	2,951.42	2,954.92	2,912.99	2,941.76	2,941.76	18,736,050,000
Jun 17, 2019	2,889.75	2,964.15	2,887.30	2,950.46	2,950.46	18,441,710,000
Jun 10, 2019	2,885.83	2,910.61	2,874.68	2,886.98	2,886.98	15,783,900,000
Jun 03, 2019	2,751.53	2,884.97	2,728.81	2,873.34	2,873.34	17,942,620,000
May 27, 2019	2,830.03	2,840.51	2,750.52	2,752.06	2,752.06	15,076,270,000
May 20, 2019	2,841.94	2,868.88	2,805.49	2,826.06	2,826.06	16,479,450,000
May 13, 2019	2,840.19	2,892.15	2,801.43	2,859.53	2,859.53	16,938,710,000
May 06, 2019	2,908.89	2,937.32	2,825.39	2,881.40	2,881.40	17,602,830,000
Apr 29, 2019	2,940.58	2,954.13	2,900.50	2,945.64	2,945.64	17,800,970,000
Apr 22, 2019	2,898.78	2,939.88	2,896.35	2,939.88	2,939.88	16,755,720,000
Apr 15, 2019	2,908.32	2,918.00	2,891.90	2,905.03	2,905.03	13,599,690,000
Apr 08, 2019	2,888.46	2,910.54	2,873.33	2,907.41	2,907.41	15,751,420,000
Apr 01, 2019	2,848.63	2,893.24	2,848.63	2,892.74	2,892.74	16,459,900,000
Mar 25, 2019	2,796.01	2,836.03	2,785.02	2,834.40	2,834.40	16,914,430,000
Mar 18, 2019	2,822.61	2,860.31	2,800.47	2,800.71	2,800.71	18,727,610,000
Mar 11, 2019	2,747.61	2,830.73	2,747.61	2,822.48	2,822.48	20,361,870,000
Mar 04, 2019	2,814.37	2,816.88	2,722.27	2,743.07	2,743.07	18,620,090,000
Feb 25, 2019	2,804.35	2,813.49	2,775.13	2,803.69	2,803.69	19,586,400,000
Feb 18, 2019	2,769.28	2,794.20	2,764.55	2,792.67	2,792.67	14,356,680,000
Feb 11, 2019	2,712.40	2,775.66	2,703.79	2,775.60	2,775.60	18,338,580,000
Feb 04, 2019	2,706.49	2,738.98	2,681.83	2,707.88	2,707.88	18,114,780,000
Jan 28, 2019	2,644.97	2,716.66	2,624.06	2,706.53	2,706.53	19,661,740,000
