Date,Open,High,Low,Close,Adj Close,Volume
2010-07-12,9829.580078,9999.990234,9599.969727,9806.639648,9806.529297,314400
2010-07-19,9727.009766,10587.030273,9700.559570,10527.950195,10527.833008,429100
2010-07-26,10555.690430,10899.429688,10449.519531,10785.349609,10785.229492,392500
2010-08-02,10789.070313,11091.179688,10625.889648,10942.929688,10942.807617,432800
2010-08-09,10923.889648,11050.830078,10613.280273,10886.570313,10886.448242,412300
2010-08-16,10870.740234,11424.080078,10827.599609,11090.459961,11090.334961,478700
2010-08-23,11098.269531,11311.099609,10926.169922,11034.730469,11034.607422,361200
2010-08-30,11114.719727,11540.419922,11098.740234,11467.089844,11466.961914,551400
2010-09-06,11550.129883,11750.889648,11302.730469,11530.990234,11530.861328,595700
2010-09-13,11541.919922,11759.009766,11060.660156,11208.250000,11208.125000,425000
2010-09-20,11221.940430,11262.450195,11072.530273,11210.740234,11210.615234,108400
2010-09-27,11262.870117,11468.780273,11125.490234,11468.540039,11468.412109,304400
2010-10-04,11594.919922,11960.570313,11578.120117,11911.370117,11911.236328,137700
2010-10-11,12037.990234,12834.799805,12037.990234,12765.500000,12765.357422,1096000
2010-10-18,12803.469727,13346.330078,12532.110352,13224.980469,13224.833008,1020200
2010-10-25,13292.530273,13863.980469,13261.049805,13367.240234,13367.089844,827400
2010-11-01,13385.250000,13930.330078,13364.400391,13733.360352,13733.207031,819100
2010-11-08,13785.790039,13936.879883,12702.950195,12726.540039,12726.397461,876100
2010-11-15,12772.849609,12877.379883,11849.900391,12295.849609,12295.710938,567000
2010-11-22,12190.349609,12676.940430,11864.360352,12539.009766,12538.869141,533200
2010-11-29,12527.530273,12592.910156,11979.299805,12443.000000,12442.860352,404200
2010-12-06,12486.320313,12823.150391,12241.759766,12460.459961,12460.320313,409000
2010-12-13,12546.049805,12987.709961,12545.570313,12759.599609,12759.457031,442300
2010-12-20,12815.049805,12975.629883,12330.990234,12556.849609,12556.708008,525900
2010-12-27,12575.429688,12808.830078,11963.719727,12458.549805,12458.410156,414600
2011-01-03,12578.450195,12790.929688,12502.169922,12573.940430,12573.798828,444500
2011-01-10,12577.089844,12644.320313,12212.500000,12294.169922,12294.031250,370200
2011-01-17,12159.950195,12229.559570,11491.940430,11639.959961,11639.829102,355200
2011-01-24,11661.759766,11935.040039,11377.339844,11894.230469,11894.096680,314400
2011-01-31,11884.339844,12052.389648,11820.200195,11991.509766,11991.375977,114100
2011-02-07,11903.650391,12376.030273,11764.230469,12292.490234,12292.351563,248400
2011-02-14,12318.309570,12936.740234,12318.309570,12613.110352,12612.968750,596000
2011-02-21,12526.250000,12918.419922,12387.759766,12633.879883,12633.738281,461600
2011-02-28,12658.190430,13023.019531,12562.950195,12893.839844,12893.695313,557600
2011-03-07,12961.419922,13233.019531,12821.070313,12848.019531,12847.875000,570500
2011-03-14,12814.099609,12958.290039,12447.709961,12721.990234,12721.847656,466800
2011-03-21,12745.379883,12980.309570,12471.389648,12942.070313,12941.925781,408100
2011-03-28,13020.209961,13075.230469,12498.830078,12699.419922,12699.277344,468700
2011-04-04,12648.910156,13039.730469,12568.839844,13036.230469,13036.083984,391100
2011-04-11,13075.690430,13142.429688,12772.320313,12965.750000,12965.604492,756900
2011-04-18,12912.980469,13045.820313,12687.620117,12708.419922,12708.277344,597600
2011-04-25,12664.450195,12664.450195,12138.849609,12312.990234,12312.851563,417100
2011-05-02,12314.700195,12423.459961,11896.980469,12067.610352,12067.474609,296200
