Date	Open	High	Low	Close*	Adj Close**	Volume
Jun 24, 2019	15.37	15.37	15.12	15.25	15.25	116,365
Jun 17, 2019	14.81	15.47	14.81	15.27	15.27	111
Jun 10, 2019	14.60	14.87	14.60	14.78	14.78	241
Jun 03, 2019	14.72	15.13	14.70	14.99	14.99	60
May 27, 2019	14.30	14.54	14.24	14.53	14.53	529
May 20, 2019	14.36	14.58	14.32	14.52	14.52	188
May 13, 2019	14.72	14.77	14.35	14.35	14.35	429
May 06, 2019	14.87	14.92	14.69	14.73	14.73	355
Apr 29, 2019	15.03	15.03	14.52	14.91	14.91	20,563
Apr 22, 2019	14.96	15.00	14.77	15.00	15.00	78,209
Apr 15, 2019	14.95	14.95	14.89	14.94	14.94	1
Apr 08, 2019	15.17	15.26	14.82	14.92	14.92	23
Apr 01, 2019	15.03	15.14	14.94	15.04	15.04	93
Mar 25, 2019	15.52	15.52	14.91	15.06	15.06	792
Mar 18, 2019	15.25	15.52	15.22	15.35	15.35	118
Mar 11, 2019	15.22	15.42	15.09	15.25	15.25	174
Mar 04, 2019	15.17	15.27	14.92	15.27	15.27	583
Feb 25, 2019	15.94	15.94	15.08	15.17	15.17	79,671
Feb 18, 2019	15.95	16.16	15.79	15.91	15.91	26
Feb 11, 2019	15.66	15.76	15.50	15.72	15.72	34
Feb 04, 2019	15.84	15.84	15.66	15.77	15.77	57
Jan 28, 2019	15.60	16.14	15.60	15.88	15.88	335
Jan 21, 2019	15.30	15.64	15.14	15.64	15.64	40
Jan 14, 2019	15.59	15.63	15.29	15.33	15.33	150
Jan 07, 2019	15.75	15.75	15.56	15.58	15.58	141
Dec 31, 2018	15.41	15.71	15.41	15.69	15.69	127
Dec 24, 2018	14.70	15.33	14.70	15.33	15.33	1,075
Dec 17, 2018	14.56	14.75	14.53	14.58	14.58	295
Dec 10, 2018	14.56	14.73	14.48	14.51	14.51	491
Dec 03, 2018	14.21	14.57	14.19	14.57	14.57	624
Nov 26, 2018	14.18	14.34	13.98	14.09	14.09	108,873
Nov 19, 2018	14.38	14.48	14.22	14.22	14.22	83
Nov 12, 2018	14.10	14.36	13.94	14.36	14.36	14
Nov 05, 2018	14.60	14.65	14.10	14.10	14.10	78
Oct 29, 2018	14.38	14.73	14.23	14.71	14.71	557
Oct 22, 2018	14.52	14.73	14.52	14.64	14.64	145
Oct 15, 2018	14.66	14.66	14.53	14.58	14.58	75
Oct 08, 2018	14.22	14.56	14.22	14.56	14.56	52
Oct 01, 2018	14.35	14.74	14.35	14.57	14.57	170
Sep 24, 2018	14.25	14.62	14.12	14.62	14.62	624
Sep 17, 2018	13.98	14.27	13.98	14.27	14.27	1,935
Sep 10, 2018	14.04	14.26	13.91	14.04	14.04	363
Sep 03, 2018	14.40	14.40	13.96	14.07	14.07	1,313
Aug 27, 2018	14.84	14.84	14.43	14.44	14.44	85,325
Aug 20, 2018	14.70	14.82	14.47	14.78	14.78	61
