Date,Open,High,Low,Close,Adj Close,Volume
2010-06-28,11266.500000,11415.299805,11146.799805,11196.099609,11196.099609,347930900
2010-07-05,11163.000000,11570.500000,11065.500000,11570.500000,11570.500000,916559300
2010-07-12,11567.400391,11741.799805,11497.299805,11569.700195,11569.700195,890726700
2010-07-19,11542.200195,11722.599609,11446.000000,11714.200195,11714.200195,841588300
2010-07-26,11742.400391,11822.700195,11603.799805,11713.400391,11713.400391,859148300
2010-08-02,11829.299805,11872.900391,11700.099609,11800.000000,11800.000000,833735700
2010-08-09,11846.700195,11878.400391,11480.500000,11528.299805,11528.299805,908445600
2010-08-16,11527.700195,11806.500000,11493.599609,11722.099609,11722.099609,880899100
2010-08-23,11751.500000,11887.799805,11469.299805,11879.700195,11879.700195,927602500
2010-08-30,11873.099609,12197.900391,11845.200195,12144.900391,12144.900391,1019216300
2010-09-06,12148.099609,12160.700195,11997.700195,12097.099609,12097.099609,737364100
2010-09-13,12147.400391,12262.299805,12081.599609,12164.599609,12164.599609,1218954300
2010-09-20,12190.500000,12281.400391,12055.599609,12204.900391,12204.900391,1017538600
2010-09-27,12211.099609,12446.900391,12123.799805,12363.099609,12363.099609,1081761900
2010-10-04,12368.000000,12541.000000,12262.700195,12535.599609,12535.599609,1023706700
2010-10-11,12530.000000,12710.200195,12479.599609,12609.099609,12609.099609,848611900
2010-10-18,12596.200195,12674.099609,12518.500000,12601.200195,12601.200195,925845700
2010-10-25,12671.299805,12694.500000,12504.799805,12676.200195,12676.200195,941192400
2010-11-01,12725.900391,13001.200195,12569.400391,12925.099609,12925.099609,1125007000
2010-11-08,12940.299805,13114.099609,12661.900391,12749.200195,12749.200195,1234019100
2010-11-15,12757.500000,12967.500000,12501.799805,12956.299805,12956.299805,981753900
2010-11-22,12931.799805,12964.000000,12780.900391,12892.700195,12892.700195,788680700
2010-11-29,12888.099609,13196.500000,12783.400391,13179.000000,13179.000000,1361921000
2010-12-06,13207.200195,13368.799805,13132.400391,13239.500000,13239.500000,1086962200
2010-12-13,13290.299805,13360.099609,13094.099609,13201.500000,13201.500000,1303979400
2010-12-20,13231.500000,13397.299805,13193.299805,13383.200195,13383.200195,603193100
2010-12-27,13413.200195,13493.599609,13383.000000,13443.200195,13443.200195,285107200
2011-01-03,13530.400391,13530.400391,13233.299805,13272.299805,13272.299805,864888000
2011-01-10,13291.599609,13505.400391,13139.500000,13464.099609,13464.099609,1223241300
