Date,Open,High,Low,Close,Adj Close,Volume
2010-06-28,3.979000,3.993000,3.826000,3.941000,3.941000,0
2010-07-05,3.933000,4.044000,3.885000,4.040000,4.040000,0
2010-07-12,4.031000,4.110000,3.927000,3.949000,3.949000,0
2010-07-19,3.959000,4.021000,3.898000,4.019000,4.019000,0
2010-07-26,4.006000,4.138000,3.977000,3.977000,3.977000,0
2010-08-02,4.022000,4.077000,3.997000,4.002000,4.002000,0
2010-08-09,4.004000,4.034000,3.868000,3.870000,3.870000,0
2010-08-16,3.788000,3.792000,3.604000,3.661000,3.661000,0
2010-08-23,3.681000,3.707000,3.462000,3.698000,3.698000,0
2010-08-30,3.655000,3.875000,3.518000,3.783000,3.783000,0
2010-09-06,3.715000,3.898000,3.669000,3.873000,3.873000,0
2010-09-13,3.918000,3.958000,3.781000,3.911000,3.911000,0
2010-09-20,3.890000,3.907000,3.675000,3.793000,3.793000,0
2010-09-27,3.722000,3.772000,3.636000,3.721000,3.721000,0
2010-10-04,3.711000,3.758000,3.637000,3.746000,3.746000,0
2010-10-11,3.718000,4.016000,3.714000,3.999000,3.999000,0
2010-10-18,3.938000,3.993000,3.869000,3.937000,3.937000,0
2010-10-25,3.888000,4.075000,3.864000,4.000000,4.000000,0
2010-11-01,3.964000,4.164000,3.857000,4.126000,4.126000,0
2010-11-08,4.134000,4.335000,4.083000,4.268000,4.268000,0
2010-11-15,4.335000,4.402000,4.221000,4.252000,4.252000,0
2010-11-22,4.197000,4.298000,4.149000,4.207000,4.207000,0
2010-11-29,4.192000,4.323000,4.051000,4.312000,4.312000,0
2010-12-06,4.282000,4.508000,4.250000,4.422000,4.422000,0
2010-12-13,4.445000,4.624000,4.379000,4.409000,4.409000,0
2010-12-20,4.397000,4.490000,4.370000,4.475000,4.475000,0
2010-12-27,4.484000,4.552000,4.331000,4.362000,4.362000,0
2011-01-03,4.399000,4.604000,4.351000,4.490000,4.490000,0
2011-01-10,4.489000,4.556000,4.446000,4.531000,4.531000,0
2011-01-17,4.492000,4.638000,4.482000,4.574000,4.574000,0
2011-01-24,4.560000,4.644000,4.467000,4.525000,4.525000,0
2011-01-31,4.568000,4.743000,4.538000,4.737000,4.737000,0
2011-02-07,4.752000,4.789000,4.681000,4.713000,4.713000,0
2011-02-14,4.700000,4.721000,4.626000,4.698000,4.698000,0
2011-02-21,4.655000,4.670000,4.513000,4.516000,4.516000,0
2011-02-28,4.514000,4.672000,4.484000,4.601000,4.601000,0
2011-03-07,4.640000,4.666000,4.495000,4.541000,4.541000,0
2011-03-14,4.567000,4.572000,4.320000,4.429000,4.429000,0
2011-03-21,4.443000,4.516000,4.387000,4.506000,4.506000,0
2011-03-28,4.513000,4.553000,4.467000,4.489000,4.489000,0
2011-04-04,4.493000,4.671000,4.455000,4.630000,4.630000,0
2011-04-11,4.667000,4.669000,4.462000,4.468000,4.468000,0
2011-04-18,4.433000,4.549000,4.425000,4.476000,4.476000,0
2011-04-25,4.458000,4.479000,4.389000,4.406000,4.406000,0
2011-05-02,4.418000,4.418000,4.265000,4.295000,4.295000,0
2011-05-09,4.315000,4.374000,4.281000,4.326000,4.326000,0
2011-05-16,4.305000,4.356000,4.207000,4.299000,4.299000,0
2011-05-23,4.268000,4.293000,4.220000,4.240000,4.240000,0
2011-05-30,4.249000,4.272000,4.137000,4.231000,4.231000,0
2011-06-06,4.258000,4.303000,4.156000,4.184000,4.184000,0
2011-06-13,4.203000,4.304000,4.145000,4.203000,4.203000,0
2011-06-20,4.162000,4.240000,4.149000,4.174000,4.174000,0
2011-06-27,4.215000,4.449000,4.204000,4.402000,4.402000,0
2011-07-04,4.378000,4.408000,4.277000,4.277000,4.277000,0
2011-07-11,4.234000,4.315000,4.153000,4.251000,4.251000,0
2011-07-18,4.226000,4.332000,4.194000,4.260000,4.260000,0
2011-07-25,4.312000,4.344000,4.132000,4.132000,4.132000,0
2011-08-01,4.141000,4.168000,3.676000,3.823000,3.823000,0
2011-08-08,3.812000,3.828000,3.501000,3.703000,3.703000,0
2011-08-15,3.744000,3.767000,3.341000,3.390000,3.390000,0
2011-08-22,3.411000,3.654000,3.386000,3.534000,3.534000,0
2011-08-29,3.572000,3.655000,3.308000,3.311000,3.311000,0
2011-09-05,3.233000,3.374000,3.186000,3.246000,3.246000,0
2011-09-12,3.217000,3.381000,3.216000,3.341000,3.341000,0
2011-09-19,3.248000,3.267000,2.752000,2.871000,2.871000,0
2011-09-26,2.920000,3.154000,2.896000,2.921000,2.921000,0
2011-10-03,2.851000,3.081000,2.694000,3.016000,3.016000,0
2011-10-10,3.024000,3.252000,3.024000,3.209000,3.209000,0
2011-10-17,3.243000,3.275000,3.080000,3.252000,3.252000,0
2011-10-24,3.221000,3.452000,3.124000,3.352000,3.352000,0
2011-10-31,3.281000,3.284000,2.946000,3.104000,3.104000,0
2011-11-07,3.089000,3.175000,2.975000,3.110000,3.110000,0
2011-11-14,3.166000,3.169000,2.949000,2.996000,2.996000,0
2011-11-21,2.935000,2.966000,2.823000,2.922000,2.922000,0
2011-11-28,3.040000,3.159000,2.906000,3.036000,3.036000,0
2011-12-05,3.074000,3.132000,2.988000,3.100000,3.100000,0
2011-12-12,3.075000,3.099000,2.840000,2.855000,2.855000,0
2011-12-19,2.848000,3.078000,2.786000,3.064000,3.064000,0
2011-12-26,3.065000,3.066000,2.864000,2.889000,2.889000,0
2012-01-02,2.977000,3.114000,2.942000,3.016000,3.016000,0
2012-01-09,3.037000,3.082000,2.880000,2.904000,2.904000,0
2012-01-16,2.948000,3.107000,2.882000,3.101000,3.101000,0
2012-01-23,3.141000,3.179000,3.037000,3.064000,3.064000,0
2012-01-30,2.996000,3.163000,2.933000,3.151000,3.151000,0
2012-02-06,3.123000,3.239000,3.073000,3.122000,3.122000,0
2012-02-13,3.152000,3.185000,3.060000,3.161000,3.161000,0
2012-02-20,3.165000,3.224000,3.094000,3.098000,3.098000,0
2012-02-27,3.065000,3.185000,3.019000,3.114000,3.114000,0
2012-03-05,3.122000,3.221000,3.058000,3.189000,3.189000,0
2012-03-12,3.150000,3.474000,3.136000,3.411000,3.411000,0
2012-03-19,3.385000,3.490000,3.298000,3.314000,3.314000,0
2012-03-26,3.353000,3.380000,3.252000,3.345000,3.345000,0
2012-04-02,3.330000,3.411000,3.276000,3.322000,3.322000,0
2012-04-09,3.187000,3.229000,3.105000,3.148000,3.148000,0
2012-04-16,3.120000,3.161000,3.093000,3.128000,3.128000,0
2012-04-23,3.070000,3.191000,3.058000,3.115000,3.115000,0
2012-04-30,3.101000,3.168000,3.066000,3.071000,3.071000,0
2012-05-07,3.065000,3.107000,2.986000,3.015000,3.015000,0
2012-05-14,2.948000,2.969000,2.785000,2.789000,2.789000,0
2012-05-21,2.820000,2.897000,2.783000,2.846000,2.846000,0
2012-05-28,2.837000,2.850000,2.510000,2.540000,2.540000,0
2012-06-04,2.565000,2.778000,2.528000,2.765000,2.765000,0
2012-06-11,2.739000,2.802000,2.673000,2.694000,2.694000,0
2012-06-18,2.663000,2.829000,2.651000,2.756000,2.756000,0
2012-06-25,2.707000,2.779000,2.653000,2.763000,2.763000,0
2012-07-02,2.742000,2.749000,2.656000,2.664000,2.664000,0
2012-07-09,2.638000,2.661000,2.560000,2.584000,2.584000,0
2012-07-16,2.556000,2.630000,2.517000,2.546000,2.546000,0
2012-07-23,2.486000,2.675000,2.452000,2.642000,2.642000,0
2012-07-30,2.616000,2.682000,2.508000,2.662000,2.662000,0
2012-08-06,2.643000,2.806000,2.619000,2.737000,2.737000,0
2012-08-13,2.743000,2.984000,2.714000,2.934000,2.934000,0
2012-08-20,2.955000,2.982000,2.745000,2.792000,2.792000,0
2012-08-27,2.782000,2.788000,2.684000,2.684000,2.684000,0
2012-09-03,2.680000,2.861000,2.663000,2.826000,2.826000,0
2012-09-10,2.852000,3.108000,2.817000,3.088000,3.088000,0
2012-09-17,3.277000,3.277000,2.909000,2.956000,2.956000,0
2012-09-24,2.915000,2.926000,2.781000,2.834000,2.834000,0
2012-10-01,2.810000,2.972000,2.804000,2.966000,2.966000,0
2012-10-08,2.974000,2.974000,2.800000,2.835000,2.835000,0
2012-10-15,2.854000,3.007000,2.828000,2.937000,2.937000,0
2012-10-22,2.966000,3.004000,2.892000,2.918000,2.918000,0
2012-10-29,2.901000,2.963000,2.851000,2.917000,2.917000,0
2012-11-05,2.879000,2.928000,2.726000,2.752000,2.752000,0
2012-11-12,2.745000,2.766000,2.696000,2.722000,2.722000,0
2012-11-19,2.759000,2.839000,2.756000,2.829000,2.829000,0
2012-11-26,2.796000,2.818000,2.747000,2.794000,2.794000,0
2012-12-03,2.833000,2.851000,2.745000,2.814000,2.814000,0
2012-12-10,2.797000,2.929000,2.786000,2.871000,2.871000,0
2012-12-17,2.867000,3.036000,2.866000,2.922000,2.922000,0
2012-12-24,2.933000,2.952000,2.868000,2.882000,2.882000,0
2012-12-31,2.866000,3.177000,2.865000,3.111000,3.111000,0
2013-01-07,3.102000,3.119000,3.046000,3.054000,3.054000,0
2013-01-14,3.015000,3.086000,2.992000,3.031000,3.031000,0
2013-01-21,3.051000,3.138000,3.005000,3.133000,3.133000,0
2013-01-28,3.135000,3.220000,3.126000,3.208000,3.208000,0
2013-02-04,3.200000,3.223000,3.146000,3.167000,3.167000,0
