Date	Open	High	Low	Close*	Adj Close**	Volume
Jul 26, 2010	1,183.00	1,183.10	1,158.00	1,181.70	1,181.70	266,744
Jul 19, 2010	1,181.70	1,198.60	1,180.00	1,187.70	1,187.70	147
Jul 12, 2010	1,198.50	1,217.40	1,188.00	1,188.00	1,188.00	230
Jul 05, 2010	1,207.30	1,213.00	1,189.30	1,209.60	1,209.60	185
Jun 28, 2010	1,238.20	1,246.20	1,200.80	1,207.40	1,207.40	1,060
Jun 21, 2010	1,257.40	1,264.80	1,226.90	1,255.80	1,255.80	903
Jun 14, 2010	1,223.20	1,261.50	1,217.70	1,257.20	1,257.20	1,954
Jun 07, 2010	1,239.30	1,252.10	1,211.00	1,228.90	1,228.90	3,037
May 31, 2010	1,224.80	1,228.20	1,196.90	1,216.20	1,216.20	9,968
May 24, 2010	1,193.80	1,218.50	1,193.80	1,212.20	1,212.20	359,849
May 17, 2010	1,233.30	1,235.90	1,175.70	1,175.70	1,175.70	671
May 10, 2010	1,200.40	1,246.50	1,189.20	1,227.40	1,227.40	668
May 03, 2010	1,178.60	1,210.80	1,159.20	1,210.00	1,210.00	473
Apr 26, 2010	1,160.10	1,181.30	1,148.60	1,180.10	1,180.10	932
Apr 19, 2010	1,135.20	1,153.10	1,124.00	1,153.10	1,153.10	546
Apr 12, 2010	1,161.60	1,169.00	1,130.40	1,136.30	1,136.30	1,585
Apr 05, 2010	1,122.30	1,164.80	1,119.90	1,161.10	1,161.10	5,158
Mar 29, 2010	1,110.30	1,127.70	1,101.10	1,125.10	1,125.10	223,912
Mar 22, 2010	1,099.30	1,104.20	1,085.50	1,104.20	1,104.20	109
Mar 15, 2010	1,105.10	1,131.40	1,101.40	1,107.40	1,107.40	256
Mar 08, 2010	1,123.60	1,127.10	1,099.90	1,101.50	1,101.50	246
Mar 01, 2010	1,119.30	1,145.00	1,113.60	1,134.80	1,134.80	756
Feb 22, 2010	1,112.60	1,127.40	1,088.70	1,118.30	1,118.30	1,795
Feb 15, 2010	1,119.30	1,127.00	1,092.40	1,121.30	1,121.30	3,137
Feb 08, 2010	1,065.70	1,097.10	1,061.60	1,089.50	1,089.50	3,264
Feb 01, 2010	1,081.00	1,124.90	1,045.20	1,052.20	1,052.20	10,013
Jan 25, 2010	1,095.20	1,097.90	1,073.20	1,083.00	1,083.00	319,330
Jan 18, 2010	1,139.70	1,139.70	1,083.00	1,089.20	1,089.20	207
Jan 11, 2010	1,150.70	1,161.20	1,121.00	1,130.10	1,130.10	417
Jan 04, 2010	1,117.70	1,139.20	1,097.10	1,138.20	1,138.20	710
Dec 28, 2009	1,107.20	1,111.90	1,086.00	1,095.20	1,095.20	1,936
Dec 21, 2009	1,095.40	1,119.20	1,075.00	1,104.10	1,104.10	1,023
Dec 14, 2009	1,123.30	1,141.50	1,095.70	1,110.80	1,110.80	1,503
Dec 07, 2009	1,157.60	1,169.30	1,110.80	1,119.40	1,119.40	7,965
Nov 30, 2009	1,179.90	1,226.40	1,147.00	1,168.80	1,168.80	26,299
Nov 23, 2009	1,164.30	1,195.00	1,130.10	1,174.20	1,174.20	317,557
Nov 16, 2009	1,138.60	1,149.40	1,127.20	1,146.40	1,146.40	246
Nov 09, 2009	1,098.60	1,121.30	1,098.20	1,116.10	1,116.10	422
Nov 02, 2009	1,053.40	1,100.00	1,043.50	1,095.10	1,095.10	516
Oct 26, 2009	1,055.60	1,055.60	1,028.00	1,039.70	1,039.70	865
Oct 19, 2009	1,053.60	1,066.20	1,047.50	1,055.60	1,055.60	712
Oct 12, 2009	1,049.00	1,070.20	1,043.70	1,050.70	1,050.70	787
