Date	Open	High	Low	Close*	Adj Close**	Volume
Aug 02, 2010	1,107.53	1,127.30	1,107.53	1,125.86	1,125.86	4,144,180,000
Jul 26, 2010	1,102.89	1,120.95	1,088.01	1,101.60	1,101.60	21,356,600,000
Jul 19, 2010	1,066.85	1,103.73	1,056.88	1,102.66	1,102.66	22,901,430,000
Jul 12, 2010	1,077.23	1,099.46	1,063.32	1,064.88	1,064.88	22,438,320,000
Jul 05, 2010	1,028.09	1,078.16	1,018.35	1,077.96	1,077.96	17,677,490,000
Jun 28, 2010	1,077.50	1,082.60	1,010.91	1,022.58	1,022.58	25,504,460,000
Jun 21, 2010	1,122.79	1,131.23	1,067.89	1,076.76	1,076.76	23,498,560,000
Jun 14, 2010	1,095.00	1,121.01	1,089.03	1,117.51	1,117.51	23,186,040,000
Jun 07, 2010	1,065.84	1,092.25	1,042.17	1,091.60	1,091.60	26,847,570,000
May 31, 2010	1,087.30	1,105.67	1,060.50	1,064.88	1,064.88	21,474,390,000
May 24, 2010	1,084.78	1,103.52	1,040.78	1,089.41	1,089.41	27,644,340,000
May 17, 2010	1,136.52	1,148.66	1,055.90	1,087.69	1,087.69	32,640,260,000
May 10, 2010	1,122.27	1,173.57	1,122.27	1,135.68	1,135.68	28,958,750,000
May 03, 2010	1,188.58	1,205.13	1,065.79	1,110.88	1,110.88	38,419,430,000
Apr 26, 2010	1,217.07	1,219.80	1,181.62	1,186.69	1,186.69	31,552,280,000
Apr 19, 2010	1,192.06	1,217.28	1,183.68	1,217.28	1,217.28	29,000,480,000
Apr 12, 2010	1,194.94	1,213.92	1,186.77	1,192.13	1,192.13	29,874,510,000
Apr 05, 2010	1,178.71	1,194.66	1,175.12	1,194.37	1,194.37	22,307,770,000
Mar 29, 2010	1,167.71	1,181.43	1,165.77	1,178.10	1,178.10	16,951,790,000
Mar 22, 2010	1,157.25	1,180.69	1,152.88	1,166.59	1,166.59	23,756,390,000
Mar 15, 2010	1,148.53	1,169.84	1,141.45	1,159.90	1,159.90	22,944,000,000
Mar 08, 2010	1,138.40	1,153.41	1,134.90	1,149.99	1,149.99	24,026,590,000
Mar 01, 2010	1,105.36	1,139.38	1,105.36	1,138.70	1,138.70	20,011,650,000
Feb 22, 2010	1,110.00	1,112.29	1,086.02	1,104.49	1,104.49	20,970,170,000
Feb 15, 2010	1,079.13	1,112.42	1,079.13	1,109.17	1,109.17	16,162,900,000
Feb 08, 2010	1,065.51	1,080.04	1,056.51	1,075.51	1,075.51	22,017,080,000
Feb 01, 2010	1,073.89	1,104.73	1,044.50	1,066.19	1,066.19	25,411,190,000
Jan 25, 2010	1,092.40	1,103.69	1,071.59	1,073.87	1,073.87	25,397,670,000
Jan 18, 2010	1,136.03	1,150.45	1,090.18	1,091.76	1,091.76	22,618,330,000
Jan 11, 2010	1,145.96	1,150.41	1,131.39	1,136.03	1,136.03	21,816,230,000
Jan 04, 2010	1,116.56	1,145.39	1,116.56	1,144.98	1,144.98	21,115,350,000
Dec 28, 2009	1,127.53	1,130.38	1,114.81	1,115.10	1,115.10	9,561,710,000
Dec 21, 2009	1,105.31	1,126.48	1,105.31	1,126.48	1,126.48	12,053,050,000
