Date,Open,High,Low,Close,Adj Close,Volume
2001-08-06,12170.110352,12388.610352,11683.219727,11735.059570,11735.059570,0
2001-08-13,11697.120117,11936.750000,11412.360352,11445.540039,11445.540039,0
2001-08-20,11347.240234,11504.059570,11075.419922,11166.309570,11166.309570,0
2001-08-27,11273.959961,11366.179688,10684.160156,10713.509766,10713.509766,0
2001-09-03,10729.599609,10812.889648,10325.830078,10516.790039,10516.790039,0
2001-09-10,10395.099609,10457.089844,9476.870117,10008.889648,10008.889648,0
2001-09-17,9881.059570,10061.099609,9382.950195,9554.990234,9554.990234,0
2001-09-24,9637.599609,9933.690430,9551.730469,9774.679688,9774.679688,0
2001-10-01,9766.750000,10261.860352,9604.089844,10205.870117,10205.870117,0
2001-10-08,10143.389648,10632.349609,9934.000000,10632.349609,10632.349609,0
2001-10-15,10545.250000,10790.030273,10412.250000,10538.790039,10538.790039,0
2001-10-22,10529.230469,11052.009766,10516.589844,10795.160156,10795.160156,0
2001-10-29,10779.190430,10798.080078,10318.169922,10383.780273,10383.780273,0
2001-11-05,10427.349609,10633.719727,10213.009766,10215.709961,10215.709961,0
2001-11-12,10225.589844,10850.480469,9955.089844,10649.089844,10649.089844,0
2001-11-19,10643.330078,10849.190430,10490.599609,10696.820313,10696.820313,0
2001-11-26,10797.120117,11186.750000,10512.660156,10697.440430,10697.440430,0
2001-12-03,10694.650391,11052.509766,10326.519531,10796.889648,10796.889648,0
2001-12-10,10736.120117,10821.129883,10379.589844,10511.650391,10511.650391,0
2001-12-17,10482.400391,10582.070313,10253.719727,10335.450195,10335.450195,0
2001-12-24,10359.219727,10571.750000,10170.900391,10542.620117,10542.620117,0
2001-12-31,10631.000000,10871.490234,10617.080078,10871.490234,10871.490234,0
2002-01-07,10803.450195,10979.919922,10441.589844,10441.589844,10441.589844,0
2002-01-14,10359.440430,10359.440430,10074.450195,10293.320313,10293.320313,0
2002-01-21,10252.429688,10393.559570,10012.799805,10144.139648,10144.139648,0
2002-01-28,10190.280273,10303.740234,9735.049805,9791.429688,9791.429688,0
