Date,Open,High,Low,Close,Adj Close,Volume
2001-08-06,6451.350098,6476.410156,6389.279785,6432.419922,6432.419922,5013400000
2001-08-13,6429.149902,6429.149902,6335.569824,6335.569824,6335.569824,4897500000
2001-08-20,6377.759766,6434.859863,6330.490234,6434.859863,6434.859863,5079300000
2001-08-27,6407.049805,6407.049805,6197.259766,6215.660156,6215.660156,4870500000
2001-09-03,6233.740234,6233.740234,5986.529785,5986.529785,5986.529785,5346800000
2001-09-10,6006.720215,6006.720215,6006.720215,6006.720215,6006.720215,1276600000
2001-09-17,5730.859863,5730.859863,5331.379883,5331.379883,5331.379883,10423890000
2001-09-24,5513.350098,5750.419922,5513.350098,5750.419922,5750.419922,8073900000
2001-10-01,5731.490234,5880.580078,5731.490234,5862.080078,5862.080078,7026800000
2001-10-08,5806.669922,5982.509766,5801.069824,5942.229980,5942.229980,6555180000
2001-10-15,5940.529785,5977.009766,5839.129883,5861.229980,5861.229980,6245200000
2001-10-22,5936.620117,5990.859863,5890.410156,5990.859863,5990.859863,6368100000
2001-10-29,5877.410156,5895.910156,5776.850098,5895.910156,5895.910156,6195300000
2001-11-05,5961.359863,6033.479980,5961.359863,6033.479980,6033.479980,6646300000
2001-11-12,6017.720215,6130.540039,6017.720215,6120.390137,6120.390137,6597000000
2001-11-19,6178.129883,6194.299805,6128.109863,6194.299805,6194.299805,4086600000
2001-11-26,6219.790039,6219.790039,6082.009766,6125.040039,6125.040039,6560800000
2001-12-03,6082.959961,6252.459961,6082.959961,6208.790039,6208.790039,7022800000
2001-12-10,6114.259766,6114.259766,6019.310059,6039.189941,6039.189941,6853900000
2001-12-17,6088.879883,6193.029785,6088.879883,6193.029785,6193.029785,7283800000
2001-12-24,6196.729980,6284.810059,6196.729980,6284.810059,6284.810059,3024470000
2001-12-31,6236.390137,6307.970215,6236.390137,6307.970215,6307.970215,5026500000
2002-01-07,6271.810059,6271.810059,6161.000000,6161.000000,6161.000000,6530000000
2002-01-14,6122.609863,6160.569824,6081.589844,6092.479980,6092.479980,6869200000
2002-01-21,6072.180176,6133.819824,6072.180176,6133.819824,6133.819824,5688700000
2002-01-28,6128.850098,6128.850098,5973.419922,6087.930176,6087.930176,7942600000
2002-02-04,5949.200195,5977.750000,5894.750000,5977.750000,5977.750000,7695200000
2002-02-11,6055.359863,6091.419922,6040.240234,6040.240234,6040.240234,6101200000
2002-02-18,5943.279785,6017.930176,5943.279785,6008.839844,6008.839844,5421400000
2002-02-25,6094.279785,6224.020020,6094.279785,6224.020020,6224.020020,6919100000
2002-03-04,6332.500000,6377.120117,6287.250000,6366.439941,6366.439941,7614300000
2002-03-11,6388.859863,6419.629883,6348.359863,6419.629883,6419.629883,6571300000
2002-03-18,6420.790039,6445.009766,6345.189941,6345.189941,6345.189941,6311900000
2002-03-25,6264.200195,6348.790039,6264.200195,6348.790039,6348.790039,4592000000
2002-04-01,6327.109863,6327.109863,6245.689941,6246.540039,6246.540039,5841300000
2002-04-08,6255.839844,6315.899902,6181.189941,6217.350098,6217.350098,6566300000
2002-04-15,6173.470215,6288.509766,6173.470215,6278.470215,6278.470215,6382900000
2002-04-22,6196.729980,6196.729980,6072.700195,6072.700195,6072.700195,6835100000
2002-04-29,6010.430176,6150.209961,6010.430176,6109.399902,6109.399902,7043200000
2002-05-06,6002.500000,6124.520020,5977.859863,5981.879883,5981.879883,6304200000
2002-05-13,6060.649902,6193.879883,6060.649902,6193.879883,6193.879883,6454300000
2002-05-20,6135.089844,6157.189941,6080.740234,6102.729980,6102.729980,5373600000
2002-05-27,6054.310059,6054.310059,6003.759766,6035.270020,6035.270020,4642200000
2002-06-03,5901.830078,5920.870117,5816.080078,5832.149902,5832.149902,7033800000
2002-06-10,5851.399902,5851.399902,5712.459961,5712.459961,5712.459961,7388820000
2002-06-17,5859.859863,5870.540039,5650.069824,5650.069824,5650.069824,7073050000
2002-06-24,5645.419922,5645.419922,5543.279785,5636.540039,5636.540039,9106190000
2002-07-01,5535.240234,5598.680176,5423.049805,5598.680176,5598.680176,5475700000
2002-07-08,5554.589844,5554.589844,5228.080078,5228.080078,5228.080078,8038080000
